ticker,nt_currency,exchange_name,nt_country_name,nt_bloomberg_code,nt_bloomberg_id
SWIRE PACIFIC LTD - CL A,HKD,HONG KONG,HONG KONG,19 HK,BBG000BF0315
FUJITSU LIMITED,JPY,TOKYO,JAPAN,6702 JT,BBG000BGJXV4
ROBERT HALF INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),RHI UN,BBG000BS5GM0
T ROWE PRICE GROUP INC,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),TROW UW,BBG000BVMYQ1
AZBIL CORP,JPY,TOKYO,JAPAN,6845 JT,BBG000BDD2G2
ILLINOIS TOOL WORKS,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),ITW UN,BBG000BMBNV1
ADIDAS AG,EUR,XETRA FRANKFURT,GERMANY,ADS GY,BBG000FR1RP5
ASML HOLDING NV,EUR,EURONEXT AMSTERDAM,NETHERLANDS,ASML NA,BBG000C1HT47
FANUC CORP,JPY,TOKYO,JAPAN,6954 JT,BBG000BM3VX0
LIBERTY GLOBAL LTD-C,USD,NASDAQ (NMS NATIONAL MKT SYST),BERMUDA ISLANDS,LBTYK UW,BBG01K9KJ3B1
HANG LUNG PROPERTIES LTD,HKD,HONG KONG,HONG KONG,101 HK,BBG000BDTCX4
MOWI ASA,NOK,OSLO,NORWAY,MOWI NO,BBG000JDLY02
KDDI CORP,JPY,TOKYO,JAPAN,9433 JT,BBG000BJ7JQ8
KNIGHT-SWIFT TRANSPORTATION,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),KNX UN,BBG001BD46F2
RENESAS ELECTRONICS CORP,JPY,TOKYO,JAPAN,6723 JT,BBG000MHQMZ2
MTR CORP,HKD,HONG KONG,HONG KONG,66 HK,BBG000MKLJD1
JM SMUCKER CO/THE,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),SJM UN,BBG000BT1984
BANQUE CANTONALE VAUDOIS-REG,CHF,SIX Swiss Exchange,SWITZERLAND,BCVN SE,BBG000BD7RK9
